"No.","Name","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (Year To Date)","Average Volume","Relative Volume","Change","Volume"
55,"Grocery Stores",-2.65%,-6.42%,-11.81%,-12.76%,-27.85%,-8.68%,26795.11,0.87,-0.66%,23242190.00
56,"Health Information Services",11.06%,8.14%,28.18%,31.60%,1.56%,11.38%,56470.46,1.12,2.04%,63052607.00
57,"Healthcare Plans",-1.86%,-4.82%,7.91%,34.88%,52.24%,21.97%,47835.98,0.77,0.19%,36962178.00
58,"Home Improvement Retail",3.19%,2.52%,6.28%,-12.54%,-9.17%,-1.22%,10676.16,0.72,-1.58%,7651056.00
59,"Household & Personal Products",1.04%,0.83%,4.31%,-6.58%,-4.96%,3.33%,90267.35,0.83,-0.03%,74812863.00
60,"Industrial Distribution",2.75%,4.46%,5.41%,0.28%,13.31%,18.94%,46193.62,0.70,0.34%,32217689.00
61,"Information Technology Services",3.13%,0.92%,1.45%,-19.24%,-22.05%,-23.46%,303441.52,0.78,0.08%,237323008.00
62,"Insurance - Diversified",2.86%,6.66%,10.65%,4.38%,14.00%,5.36%,19174.40,0.93,1.44%,17878948.00
63,"Insurance - Life",-1.54%,4.05%,11.64%,11.64%,27.04%,12.95%,22139.16,1.00,-0.61%,22033881.00
64,"Insurance - Property & Casualty",0.28%,0.13%,13.58%,8.86%,13.70%,7.96%,28411.43,0.81,-0.93%,23142177.00
65,"Insurance - Reinsurance",-0.07%,1.17%,7.94%,9.26%,26.42%,13.83%,2741.03,0.69,-1.48%,1894916.00
66,"Insurance - Specialty",-3.68%,0.12%,4.86%,-2.60%,1.43%,-1.69%,12714.36,0.92,-1.92%,11696605.00
67,"Insurance Brokers",0.38%,4.31%,20.35%,3.48%,-8.73%,-0.37%,19099.51,0.56,0.00%,10775546.00
68,"Integrated Freight & Logistics",0.96%,-4.19%,3.24%,-2.38%,40.60%,16.72%,30794.01,0.74,0.23%,22668622.00
69,"Internet Content & Information",-2.95%,-2.68%,-8.21%,4.43%,32.32%,5.50%,224596.23,0.82,0.77%,185189197.00
70,"Internet Retail",-1.10%,12.25%,2.36%,20.70%,15.09%,12.24%,156230.35,1.40,1.20%,219388717.00
71,"Leisure",-2.76%,2.12%,2.66%,-2.64%,-0.28%,1.92%,42983.18,1.11,-1.35%,47921187.00
72,"Lodging",-0.51%,-6.38%,-1.83%,0.69%,23.53%,8.08%,10010.09,0.90,-1.63%,9058414.00
73,"Lumber & Wood Production",2.45%,5.99%,9.43%,-7.04%,0.31%,13.48%,1483.36,0.81,-1.96%,1205687.00
74,"Luxury Goods",3.59%,13.17%,17.24%,5.21%,42.85%,18.39%,11036.91,1.10,0.73%,12118642.00
75,"Marine Shipping",-1.89%,2.03%,-1.25%,20.26%,43.06%,36.20%,14672.46,0.94,-0.97%,13830214.00
76,"Medical Care Facilities",1.29%,3.62%,7.89%,0.68%,26.16%,6.85%,47263.72,1.17,0.22%,55350007.00
77,"Medical Devices",1.65%,8.34%,17.00%,-6.03%,-11.16%,-10.98%,166013.24,0.98,1.69%,162494261.00
78,"Medical Distribution",4.39%,6.09%,23.12%,-4.65%,32.05%,6.08%,8118.51,1.77,0.93%,14369349.00
79,"Medical Instruments & Supplies",1.56%,3.49%,4.44%,-7.17%,-2.03%,-9.71%,81309.82,1.09,1.73%,88239814.00
80,"Metal Fabrication",6.59%,9.43%,18.63%,22.04%,76.14%,41.16%,12334.35,0.75,-1.37%,9266732.00
81,"Mortgage Finance",-2.59%,-6.70%,-15.86%,-28.22%,-25.48%,-33.31%,55692.85,1.24,0.04%,69288804.00
82,"Oil & Gas Drilling",10.35%,12.31%,-11.31%,12.51%,49.62%,42.84%,66921.72,1.38,8.99%,92038361.00
83,"Oil & Gas E&P",1.44%,10.06%,4.61%,14.37%,32.06%,29.19%,190859.23,0.92,4.87%,176484266.00
84,"Oil & Gas Equipment & Services",5.57%,5.64%,-2.13%,10.00%,63.09%,40.26%,89093.31,0.95,4.82%,85014101.00
85,"Oil & Gas Integrated",0.64%,11.44%,6.71%,15.94%,42.88%,35.28%,101617.78,0.93,3.59%,94214229.00
86,"Oil & Gas Midstream",-0.41%,-0.46%,2.65%,11.14%,22.51%,21.90%,95877.91,0.90,1.64%,86626675.00
87,"Oil & Gas Refining & Marketing",1.78%,11.72%,24.89%,44.40%,90.72%,76.80%,26692.67,1.19,5.57%,31680549.00
88,"Other Industrial Metals & Mining",8.15%,9.10%,-2.21%,12.59%,62.22%,32.01%,129393.36,1.04,0.61%,133955543.00
89,"Other Precious Metals & Mining",17.61%,15.02%,-8.36%,-18.27%,61.29%,-3.99%,52791.07,1.32,1.50%,69670536.00
90,"Packaged Foods",-0.91%,2.37%,5.03%,-10.63%,-14.43%,-4.34%,125151.27,1.44,-1.16%,180346781.00
91,"Packaging & Containers",0.91%,7.05%,14.81%,-0.74%,5.17%,13.08%,37312.24,0.75,-0.89%,27911640.00
92,"Paper & Paper Products",-3.35%,1.86%,-6.33%,-15.85%,-18.08%,-12.61%,3544.32,0.99,-1.33%,3504832.00
93,"Personal Services",-0.87%,-2.69%,-9.21%,-18.62%,-19.74%,-16.98%,13459.18,0.74,-2.26%,9975150.00
94,"Pharmaceutical Retailers",6.69%,2.03%,-9.65%,-15.29%,-59.05%,-25.63%,1630.36,0.78,0.55%,1274991.00
95,"Pollution & Treatment Controls",1.75%,2.13%,3.55%,0.81%,-3.64%,0.47%,14544.13,0.70,-1.11%,10112108.00
96,"Publishing",-8.32%,-7.95%,-3.91%,15.74%,17.24%,9.79%,5547.20,1.60,0.64%,8854619.00
97,"Railroads",-0.13%,2.16%,9.37%,16.54%,31.56%,26.85%,24217.00,0.75,-0.45%,18096901.00
98,"Real Estate - Development",-0.12%,0.16%,3.61%,-2.48%,8.41%,8.30%,2039.14,0.51,-1.61%,1047739.00
99,"Real Estate - Diversified",1.90%,-1.13%,-0.34%,-12.85%,9.46%,-5.54%,760.61,1.02,-2.24%,773767.00
100,"Real Estate Services",-0.69%,4.20%,-0.26%,-14.42%,-17.19%,-14.77%,98601.02,0.64,-0.73%,62798250.00
101,"Recreational Vehicles",1.70%,5.05%,-1.04%,-18.97%,8.49%,-5.45%,9905.91,0.50,-1.57%,4958424.00
102,"REIT - Diversified",-2.53%,-1.72%,-6.42%,-5.17%,-9.05%,0.06%,21493.51,1.30,-2.21%,27864181.00
103,"REIT - Healthcare Facilities",0.04%,0.82%,6.52%,15.53%,33.09%,21.90%,40687.13,1.40,-1.36%,56992298.00
104,"REIT - Hotel & Motel",-8.24%,-2.90%,9.36%,22.24%,39.59%,30.97%,33755.99,1.06,-2.22%,35830798.00
