anl_datum,group,name,perf_week,perf_month,perf_quart,perf_half,perf_year,perf_ytd,recom,avg_volume,rel_volume,change,volume
"2026-08-07 22:15:01.000",industry,"Advertising Agencies",-6.42,-23.64,-20.50,-0.12,-19.52,-39.00,0,64862.93,3.15,2.63,204112197.00
"2026-08-07 22:15:01.000",industry,"Aerospace & Defense",9.49,-2.20,0.11,-2.63,10.63,3.40,0,375450.02,1.27,5.21,475624114.00
"2026-08-07 22:15:01.000",industry,"Agricultural Inputs",-3.76,-2.78,-4.23,2.37,3.74,11.88,0,27061.15,0.72,-1.25,19399287.00
"2026-08-07 22:15:01.000",industry,"Airlines",4.67,-1.29,17.36,6.43,34.07,9.75,0,170532.77,0.44,-0.45,74937293.00
"2026-08-07 22:15:01.000",industry,"Airports & Air Services",5.06,-0.17,-9.52,-16.17,-24.33,-18.37,0,41297.82,0.85,0.50,35247485.00
"2026-08-07 22:15:01.000",industry,"Aluminum",11.30,5.49,-15.21,2.00,95.71,13.37,0,9977.89,1.13,6.61,11304682.00
"2026-08-07 22:15:01.000",industry,"Apparel Manufacturing",2.14,2.85,-0.73,4.19,24.43,7.93,0,36843.06,1.26,0.54,46353221.00
"2026-08-07 22:15:01.000",industry,"Apparel Retail",2.87,10.50,8.36,8.70,27.42,9.20,0,39080.49,0.69,0.08,26848072.00
"2026-08-07 22:15:01.000",industry,"Asset Management",4.50,8.00,6.88,8.05,-4.02,0.64,0,170576.18,1.19,0.24,202328414.00
"2026-08-07 22:15:01.000",industry,"Auto & Truck Dealerships",3.86,5.54,-0.25,-2.13,-14.16,-6.51,0,43612.05,0.90,1.49,39206550.00
"2026-08-07 22:15:01.000",industry,"Auto Manufacturers",3.93,-12.57,-14.05,-14.90,2.70,-21.91,0,256041.41,0.68,2.44,173285910.00
"2026-08-07 22:15:01.000",industry,"Auto Parts",4.03,4.13,-3.03,-2.20,-0.68,4.72,0,131361.60,0.87,2.29,113816407.00
"2026-08-07 22:15:01.000",industry,"Banks - Diversified",1.09,4.36,16.94,17.75,43.61,19.32,0,114929.55,0.71,0.31,81772978.00
"2026-08-07 22:15:01.000",industry,"Banks - Regional",0.58,2.15,10.75,1.81,21.73,10.44,0,393028.12,0.80,-0.15,316168028.00
"2026-08-07 22:15:01.000",industry,"Beverages - Brewers",-2.39,3.32,-0.03,5.35,26.51,22.57,0,36560.80,1.25,0.11,45740548.00
"2026-08-07 22:15:01.000",industry,"Beverages - Non-Alcoholic",-1.35,2.01,4.83,1.77,15.97,13.60,0,66281.83,1.20,-0.17,79268643.00
"2026-08-07 22:15:01.000",industry,"Beverages - Wineries & Distilleries",7.14,17.87,12.03,-1.42,-9.81,10.39,0,8821.04,0.90,3.26,7895314.00
"2026-08-07 22:15:01.000",industry,"Biotechnology",6.00,-1.81,13.61,17.92,47.56,15.96,0,646650.15,0.92,1.84,594608936.00
"2026-08-07 22:15:01.000",industry,"Broadcasting",5.63,7.16,-3.58,-8.78,-14.52,-13.41,0,18364.80,1.56,3.68,28653788.00
"2026-08-07 22:15:01.000",industry,"Building Materials",3.66,-2.14,-5.72,-10.94,0.96,-8.14,0,25686.04,1.67,0.86,42900553.00
"2026-08-07 22:15:01.000",industry,"Building Products & Equipment",5.73,2.03,2.56,3.95,9.11,17.99,0,43838.83,0.88,0.39,38719133.00
"2026-08-07 22:15:01.000",industry,"Business Equipment & Supplies",5.99,10.94,11.73,19.72,10.78,25.94,0,13755.27,0.26,0.97,3518457.00
