"No.","Name","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (Year To Date)","Average Volume","Relative Volume","Change","Volume"
65,"Insurance - Reinsurance",1.26%,3.20%,9.16%,13.99%,27.57%,15.54%,2749.50,0.75,1.46%,2067708.00
66,"Insurance - Specialty",-1.14%,2.08%,7.15%,-0.59%,3.21%,0.25%,12775.63,1.06,-1.29%,13551624.00
67,"Insurance Brokers",0.90%,4.28%,18.88%,3.19%,-8.59%,-0.37%,19157.56,2.12,-0.53%,40687380.00
68,"Integrated Freight & Logistics",1.77%,-3.79%,3.65%,-1.61%,40.13%,16.46%,29944.90,1.03,0.73%,30919061.00
69,"Internet Content & Information",0.92%,-2.35%,-8.80%,1.57%,30.88%,4.69%,224880.65,1.02,-0.49%,228636049.00
70,"Internet Retail",1.68%,10.51%,0.98%,15.10%,14.32%,10.92%,155064.88,1.20,0.90%,185690699.00
71,"Leisure",-1.01%,4.53%,5.06%,1.18%,0.15%,3.30%,43960.07,1.21,1.26%,53165681.00
72,"Lodging",-2.81%,-4.56%,-0.44%,4.39%,26.27%,9.87%,9997.10,0.80,-1.42%,8008829.00
73,"Lumber & Wood Production",8.70%,9.73%,10.04%,-4.06%,2.46%,15.76%,1486.60,0.96,2.71%,1419909.00
74,"Luxury Goods",5.05%,13.05%,17.35%,10.27%,38.08%,17.54%,11191.92,2.02,0.39%,22639167.00
75,"Marine Shipping",-0.13%,4.64%,0.88%,24.51%,41.55%,37.56%,14606.98,0.86,-0.46%,12532007.00
76,"Medical Care Facilities",1.22%,2.87%,8.33%,-0.18%,27.66%,6.40%,47551.10,0.99,1.77%,46986871.00
77,"Medical Devices",2.66%,7.05%,12.12%,-7.41%,-11.68%,-12.45%,171860.63,0.86,0.85%,147661695.00
78,"Medical Distribution",2.16%,6.23%,21.01%,-5.35%,26.10%,5.12%,8058.02,0.84,-0.59%,6739325.00
79,"Medical Instruments & Supplies",3.55%,1.36%,1.61%,-6.13%,-2.75%,-11.21%,81290.72,1.01,1.16%,82413914.00
80,"Metal Fabrication",11.77%,10.23%,19.12%,28.94%,80.25%,43.11%,12436.73,0.67,1.27%,8377357.00
81,"Mortgage Finance",4.46%,-6.49%,-6.38%,-28.97%,-25.34%,-31.10%,55501.81,1.51,3.28%,83610892.00
82,"Oil & Gas Drilling",-2.05%,4.37%,-16.81%,9.96%,33.69%,31.07%,66238.00,0.72,0.42%,47554033.00
83,"Oil & Gas E&P",-4.77%,5.09%,-1.13%,11.87%,24.59%,23.20%,190983.38,0.81,-0.12%,154045746.00
84,"Oil & Gas Equipment & Services",0.26%,1.94%,-6.26%,8.47%,54.06%,33.78%,88996.91,0.76,-1.34%,67497175.00
85,"Oil & Gas Integrated",-4.18%,8.66%,2.35%,13.76%,37.45%,30.58%,101564.49,0.92,-1.27%,93370363.00
86,"Oil & Gas Midstream",-3.15%,-2.35%,-0.22%,9.65%,20.16%,19.93%,96177.87,0.89,-1.72%,85353326.00
87,"Oil & Gas Refining & Marketing",-5.92%,5.74%,20.20%,41.27%,80.16%,67.62%,26693.74,1.21,-1.18%,32419411.00
88,"Other Industrial Metals & Mining",6.51%,10.30%,-0.64%,14.10%,63.64%,31.22%,129408.95,1.22,2.49%,158189486.00
